2020/10/17 10:59:34 [error] 6#6: *6 open() "/usr/share/nginx/html/payed/test" failed (2: No such file or directory), client: 192.168.56.1, server: localhost, request: "GET /payed/test HTTP/1.1", host: "nhkjxu.natappfree.cc"
2020/10/17 10:59:34 [error] 6#6: *6 open() "/usr/share/nginx/html/favicon.ico" failed (2: No such file or directory), client: 192.168.56.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "nhkjxu.natappfree.cc", referrer: "http://nhkjxu.natappfree.cc/payed/test"
2020/10/17 10:59:53 [error] 6#6: *6 open() "/usr/share/nginx/html/payed/test" failed (2: No such file or directory), client: 192.168.56.1, server: localhost, request: "GET /payed/test HTTP/1.1", host: "nhkjxu.natappfree.cc"
2020/10/17 11:00:01 [error] 6#6: *6 open() "/usr/share/nginx/html/payed/test" failed (2: No such file or directory), client: 192.168.56.1, server: localhost, request: "GET /payed/test HTTP/1.1", host: "nhkjxu.natappfree.cc"
2020/10/17 11:02:24 [error] 6#6: *1 open() "/usr/share/nginx/html/payed/test" failed (2: No such file or directory), client: 192.168.56.1, server: localhost, request: "GET /payed/test HTTP/1.1", host: "nhkjxu.natappfree.cc"
2020/10/17 11:02:26 [error] 6#6: *1 open() "/usr/share/nginx/html/payed/test" failed (2: No such file or directory), client: 192.168.56.1, server: localhost, request: "GET /payed/test HTTP/1.1", host: "nhkjxu.natappfree.cc"
2020/10/17 11:02:27 [error] 6#6: *1 open() "/usr/share/nginx/html/payed/test" failed (2: No such file or directory), client: 192.168.56.1, server: localhost, request: "GET /payed/test HTTP/1.1", host: "nhkjxu.natappfree.cc"
2020/10/17 11:02:27 [error] 6#6: *1 open() "/usr/share/nginx/html/payed/test" failed (2: No such file or directory), client: 192.168.56.1, server: localhost, request: "GET /payed/test HTTP/1.1", host: "nhkjxu.natappfree.cc"
2020/10/17 11:02:28 [error] 6#6: *1 open() "/usr/share/nginx/html/payed/test" failed (2: No such file or directory), client: 192.168.56.1, server: localhost, request: "GET /payed/test HTTP/1.1", host: "nhkjxu.natappfree.cc"
2020/10/17 11:02:29 [error] 6#6: *1 open() "/usr/share/nginx/html/payed/test" failed (2: No such file or directory), client: 192.168.56.1, server: localhost, request: "GET /payed/test HTTP/1.1", host: "nhkjxu.natappfree.cc"
2020/10/17 11:02:29 [error] 6#6: *1 open() "/usr/share/nginx/html/payed/test" failed (2: No such file or directory), client: 192.168.56.1, server: localhost, request: "GET /payed/test HTTP/1.1", host: "nhkjxu.natappfree.cc"
2020/10/17 11:02:46 [error] 6#6: *1 open() "/usr/share/nginx/html/payed/test" failed (2: No such file or directory), client: 192.168.56.1, server: localhost, request: "GET /payed/test HTTP/1.1", host: "nhkjxu.natappfree.cc"
2020/10/17 11:06:39 [error] 6#6: *10 open() "/usr/share/nginx/html/static/static/index/js/text.js" failed (2: No such file or directory), client: 192.168.56.1, server: gulimall.com, request: "GET /static/static/index/js/text.js HTTP/1.1", host: "gulimall.com", referrer: "http://gulimall.com/"
2020/10/17 11:06:39 [error] 6#6: *10 open() "/usr/share/nginx/html/static/index/img/top_find_logo.png" failed (2: No such file or directory), client: 192.168.56.1, server: gulimall.com, request: "GET /static/index/img/top_find_logo.png HTTP/1.1", host: "gulimall.com", referrer: "http://gulimall.com/"
2020/10/17 11:06:39 [error] 6#6: *10 open() "/usr/share/nginx/html/staticindex/img/img_12.png" failed (2: No such file or directory), client: 192.168.56.1, server: gulimall.com, request: "GET /staticindex/img/img_12.png HTTP/1.1", host: "gulimall.com", referrer: "http://gulimall.com/"
2020/10/17 11:06:39 [error] 6#6: *10 open() "/usr/share/nginx/html/static/static/index/js/text.js" failed (2: No such file or directory), client: 192.168.56.1, server: gulimall.com, request: "GET /static/static/index/js/text.js HTTP/1.1", host: "gulimall.com", referrer: "http://gulimall.com/"
2020/10/17 11:10:15 [error] 6#6: *27 open() "/usr/share/nginx/html/static/static/index/js/text.js" failed (2: No such file or directory), client: 192.168.56.1, server: gulimall.com, request: "GET /static/static/index/js/text.js HTTP/1.1", host: "gulimall.com", referrer: "http://gulimall.com/"
2020/10/17 11:10:15 [error] 6#6: *27 open() "/usr/share/nginx/html/static/index/img/top_find_logo.png" failed (2: No such file or directory), client: 192.168.56.1, server: gulimall.com, request: "GET /static/index/img/top_find_logo.png HTTP/1.1", host: "gulimall.com", referrer: "http://gulimall.com/"
2020/10/17 11:10:16 [error] 6#6: *27 open() "/usr/share/nginx/html/staticindex/img/img_12.png" failed (2: No such file or directory), client: 192.168.56.1, server: gulimall.com, request: "GET /staticindex/img/img_12.png HTTP/1.1", host: "gulimall.com", referrer: "http://gulimall.com/"
2020/10/17 11:10:16 [error] 6#6: *27 open() "/usr/share/nginx/html/static/static/index/js/text.js" failed (2: No such file or directory), client: 192.168.56.1, server: gulimall.com, request: "GET /static/static/index/js/text.js HTTP/1.1", host: "gulimall.com", referrer: "http://gulimall.com/"
2020/10/17 15:55:01 [error] 6#6: *11 open() "/usr/share/nginx/html/static/static/index/js/text.js" failed (2: No such file or directory), client: 192.168.56.1, server: gulimall.com, request: "GET /static/static/index/js/text.js HTTP/1.1", host: "gulimall.com", referrer: "http://gulimall.com/"
2020/10/17 15:55:01 [error] 6#6: *11 open() "/usr/share/nginx/html/static/index/img/top_find_logo.png" failed (2: No such file or directory), client: 192.168.56.1, server: gulimall.com, request: "GET /static/index/img/top_find_logo.png HTTP/1.1", host: "gulimall.com", referrer: "http://gulimall.com/"
2020/10/17 15:55:01 [error] 6#6: *11 open() "/usr/share/nginx/html/staticindex/img/img_12.png" failed (2: No such file or directory), client: 192.168.56.1, server: gulimall.com, request: "GET /staticindex/img/img_12.png HTTP/1.1", host: "gulimall.com", referrer: "http://gulimall.com/"
2020/10/17 15:55:01 [error] 6#6: *11 open() "/usr/share/nginx/html/static/static/index/js/text.js" failed (2: No such file or directory), client: 192.168.56.1, server: gulimall.com, request: "GET /static/static/index/js/text.js HTTP/1.1", host: "gulimall.com", referrer: "http://gulimall.com/"
2020/10/17 15:55:16 [error] 6#6: *21 open() "/usr/share/nginx/html/static/static/index/js/text.js" failed (2: No such file or directory), client: 192.168.56.1, server: gulimall.com, request: "GET /static/static/index/js/text.js HTTP/1.1", host: "gulimall.com", referrer: "http://gulimall.com/"
2020/10/17 15:55:16 [error] 6#6: *21 open() "/usr/share/nginx/html/static/index/img/top_find_logo.png" failed (2: No such file or directory), client: 192.168.56.1, server: gulimall.com, request: "GET /static/index/img/top_find_logo.png HTTP/1.1", host: "gulimall.com", referrer: "http://gulimall.com/"
2020/10/17 15:55:16 [error] 6#6: *21 open() "/usr/share/nginx/html/staticindex/img/img_12.png" failed (2: No such file or directory), client: 192.168.56.1, server: gulimall.com, request: "GET /staticindex/img/img_12.png HTTP/1.1", host: "gulimall.com", referrer: "http://gulimall.com/"
